rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
20,谋士以身入局，举棋胜天半子（不等式1）,社恐内向昭爷爷,173402,32391,0.1868,1784,1412,1402,834,455,333,https://www.bilibili.com/video/BV1JpYxzuEXR,BV1JpYxzuEXR,-
21,加藤参加抗日胜利80周年活动,加藤在中国,1974109,364270,0.1845,130905,36644,6698,3994,2081,166,https://www.bilibili.com/video/BV1ambzzRENY,BV1ambzzRENY,-
22,来新疆了，葡萄很好，一串有五十六颗，紧紧的，很甜！,爱画画的子衿,73537,13495,0.1835,12550,1144,223,472,647,300,https://www.bilibili.com/video/BV1d8e3zcEZh,BV1d8e3zcEZh,-
23,我当猫7年了！,吟游诗人咣当,422000,77397,0.1834,13817,5774,3091,1821,10320,96,https://www.bilibili.com/video/BV156ewzYEgY,BV156ewzYEgY,一边做蛋糕，一边防猫偷吃，8月19号是咣当回家的日子，也是咣当的生日！❤️
24,仿佛回到老老实实画出每一根线条的古早年代,皿癮葉壱,237133,43169,0.182,1356,7900,271,515,196,76,https://www.bilibili.com/video/BV18CYxzREDt,BV18CYxzREDt,
25,剪完视频感觉自己年轻了五岁,盛夏聆听深秋_,178473,32318,0.1811,786,8667,1117,649,148,75,https://www.bilibili.com/video/BV1ZueAzkEDt,BV1ZueAzkEDt,
26,失之东隅 收之桑榆 东台没能看到的浅蓝蒂芙尼竟在此偶遇！,赵朔西行漫记,71503,12843,0.1796,11744,1599,161,3814,4163,1329,https://www.bilibili.com/video/BV1zxeFzNE4f,BV1zxeFzNE4f,柴达木盆地北缘东行，绿色渐浓，风光愈好，抵达怀头他拉镇小憩。
27,EVA使徒来袭，初号机首次出击!,有趣心情,162692,29021,0.1784,5511,4293,2179,367,212,100,https://www.bilibili.com/video/BV18MewzsEBw,BV18MewzsEBw,-
28,燃烧自身带来的黎明,沂淇_,901182,158705,0.1761,19999,47800,7059,1375,219,31,https://www.bilibili.com/video/BV1FWYqzMEaK,BV1FWYqzMEaK,yc 神秘GG爆
29,【买前必看】监测超准？全新设计？还有什么？三星Watch8全系一月详细体验,搞机所,36325,6381,0.1757,1271,1344,10,95,679,576,https://www.bilibili.com/video/BV1Fwecz6EH9,BV1Fwecz6EH9,"轻薄时尚？经典商务？极限户外？
距离三星新发布的Galaxy Watch也有一个月了
这期视频
我们用一个多月的佩戴体验
告诉你
这三款最新的三星Watch
究竟买哪款
最合适"
30,哥哥姐姐，这是我的修改反馈,一打七弟弟,974428,170042,0.1745,12600,6990,1408,2408,465,34,https://www.bilibili.com/video/BV1BUeczMEvN,BV1BUeczMEvN,-
