rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
1,“收集了这么多好看的风景 那必须第一时间分享给你啦”,风景旅行收藏家,156785,44674,0.2849,1856,18750,5027,5849,12833,151,https://www.bilibili.com/video/BV1XDYpzpEaU,BV1XDYpzpEaU,-
2,用自媒体赚的钱带全村的老人去旅行,李福贵1,1222346,328134,0.2684,360325,31961,6507,6756,5099,558,https://www.bilibili.com/video/BV1hteAzhEbD,BV1hteAzhEbD,"我们又回到了这座大山
但他、她们的世界，已不再只有大山"
3,“这首《潮汐》真不值得你一键三连吗”,天不生拾柒,252435,65896,0.261,16573,28396,1424,1323,1122,141,https://www.bilibili.com/video/BV1ESYBzuEUh,BV1ESYBzuEUh,"残月忧郁 星夜静谧 潮落叹息
聆听山语 回荡不清 若即若离
本期算是目前剪辑为止的高峰了
剪出来还是很有成就的
就看你  能否搏一搏我的生机吧
bgm:潮汐-傅梦彤
8.17下午16:30补了下帧率+有些画面微调了下
（又给自己工作量了 可他为什么就是不火呢）
昨晚给整忘了"
4,我干了，大家随意,AI编程布道者-金角大王,1793685,447589,0.2495,99421,37997,1347,2616,52526,91,https://www.bilibili.com/video/BV1d9bpz1EN5,BV1d9bpz1EN5,
5,海贼100天P1 最绝望的地狱开局 海军三大将同时降临,林凡Gg,59529,13329,0.2239,5513,3378,167,801,9706,1117,https://www.bilibili.com/video/BV14tegzCEQs,BV14tegzCEQs,"正式开启新坑了兄弟们！在这个系列里，我们需要靠自己的技术，一步步提升实力，去面对海贼王里的强敌，最终活到第一百天，战胜所有boss！
动画：@智建M刈观皮皮龙  @阿祖yanzu  @林凡Gg  
白发海贼团成员：@幻梦Rez  @小野人老邪  @超级无敌邪垫子  @木星知星  
鸡蛋仔海贼团成员：@M仔B  @FashionEgg  @竹枭枭枭  
模组：Mine Piece     模组汉化作"
6,我相信苦难困得住你的肉体，但困不住你自由的灵魂！,造梦阿瑄,991790,215547,0.2173,15835,10048,2291,3346,9298,145,https://www.bilibili.com/video/BV1FLYyzoEwg,BV1FLYyzoEwg,-
7,【周深｜现场】 W年度光影盛典带来歌曲《嗨》,周深工作室,109896,21510,0.1957,16893,7487,1310,1576,1509,246,https://www.bilibili.com/video/BV1eyePzBEGG,BV1eyePzBEGG,周深在W年度光影盛典献唱歌曲《嗨》！四个空间穿梭，感受不同光影经典，用声音记录更多美好时刻～
8,你一定没看过的超绝惊艳转场（零点1）,社恐内向昭爷爷,837190,160726,0.192,3629,19504,11446,2015,14668,348,https://www.bilibili.com/video/BV1y7bWzFECG,BV1y7bWzFECG,-
9,《满嘴都是夏天的糖果》,屑老板XBOSS,686824,129045,0.1879,59400,51153,6321,2928,1785,203,https://www.bilibili.com/video/BV1CUYyzPEqu,BV1CUYyzPEqu,第一次这么多人一起合作有点手忙脚乱hhh 猜猜哪些部分是谁做吧
10,我当猫7年了！,吟游诗人咣当,424970,77894,0.1833,13911,5811,3107,1825,10383,96,https://www.bilibili.com/video/BV156ewzYEgY,BV156ewzYEgY,一边做蛋糕，一边防猫偷吃，8月19号是咣当回家的日子，也是咣当的生日！❤️
11,EVA使徒来袭，初号机首次出击!,有趣心情,166094,29538,0.1778,5595,4376,2217,371,216,100,https://www.bilibili.com/video/BV18MewzsEBw,BV18MewzsEBw,-
12,哥哥姐姐，这是我的修改反馈,一打七弟弟,979996,170974,0.1745,12682,7027,1415,2417,469,34,https://www.bilibili.com/video/BV1BUeczMEvN,BV1BUeczMEvN,-
13,昔涟即“开拓”？来古士输才是“赢麻了”？神秘出手，颠覆所有！【普通星铁考据·3.5】,Muc虚空之翼,70431,12108,0.1719,7053,3652,593,766,1335,2289,https://www.bilibili.com/video/BV1okeMzxE9X,BV1okeMzxE9X,"前方高能，暴论超多
BGM：HOYO-MiX - 有关星空的寓言集•其一 Fables About the Stars Part 1；SIGONO,林蝉 - 龙脉长歌；星穹铁道3.5剧情插曲，来古士BOSS战曲；假面骑士圣刃「Timeless Story」； 假面骑士 圣刃 主题曲 OP 「ALMIGHTY～仮面の约束 ；川井憲次 - 騎士王の誇り；林ゆうき - ROBOTICS;NOTES；梶浦"
