rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
14,星尘：😡😡😡🤬🤬,MaxXSoft,844494,144686,0.1713,43246,78392,5938,2322,15596,189,https://www.bilibili.com/video/BV1GhbhzeELZ,BV1GhbhzeELZ,"我无法逃离这个充满戾气的互联网。

《皈依者狂热》
演唱：星尘Infinity
作词/作曲/编曲/调教/混音/母带：MaxXing
策划/分镜/动画/3D/后期：MaxXing

特别感谢：@KAI_sss  （提供混音指导）
借物表：
MMD：椛暗式星尘（模型：椛暗 流云景，模型定制委托人：诚实的月亮，配布：BV1rh4y1j7sQ）
其他3D模型：
Hand Sculpture：re1mons"
15,“有你在身边，夏天才圆满！”,小白不留行,597867,101325,0.1695,20052,20058,1372,558,319,130,https://www.bilibili.com/video/BV1k2YbzJEwj,BV1k2YbzJEwj,"夏天一定还会到来，大家的旅程都在继续。
只要我们都珍惜着彼此，总有一天还会相聚。

感谢白枝雪鸽、KeenanLiu两位老师的共同创作！"
16,一口气捐出300台AED，夸我！立一下人设！,大漠叔叔,179229,30096,0.1679,16006,1715,148,1140,466,143,https://www.bilibili.com/video/BV1SKe3zmErt,BV1SKe3zmErt,
17,【苏星河】在手机上看一部电影，究竟得先看多少广告？,苏星河牛通,75207,12092,0.1608,11471,3283,1094,1046,592,710,https://www.bilibili.com/video/BV1seegzzEnH,BV1seegzzEnH,结尾有惊喜！
18,当身体被打败意志将带你杀出重围！,阿铭铭丶,2153502,340019,0.1579,93246,54024,4098,4011,76324,104,https://www.bilibili.com/video/BV1z9bLzYEhS,BV1z9bLzYEhS,
19,国际象棋，但是走法由点赞数量最高的评论决定（第九天）,喝彩城堡CastleBravo,190260,29788,0.1566,1145,2225,2222,5338,479,188,https://www.bilibili.com/video/BV16ZeuzPEQm,BV16ZeuzPEQm,"没有国际象棋行棋规则的限制，但是有将死逼和等规则，如果一方在当天被将死或者逼和，那么第二天另一方可以采取行动来避免将杀，否则游戏结束。

每天北京时间早上九点统计前一天的评论点赞数量。

视频素材来源：
【中字邦邦MV】春日影 ——CRYCHIC https://www.bilibili.com/video/BV1YE421L7wX/
【Laura Shigihara】Zombies on you"
20,看好了白凝冰，ai是这样用的哒,可乐加冰九分满,477232,74011,0.1551,2231,16966,1024,565,90,17,https://www.bilibili.com/video/BV1nXYkzXEHZ,BV1nXYkzXEHZ,-
21,【鱼肉肉】黑帮摇这一块/三刷,鱼肉肉pabo,820032,123773,0.1509,5514,18750,1958,1162,382,46,https://www.bilibili.com/video/BV1TdePzcEat,BV1TdePzcEat,动作参考：好吃不过生巧
22,“众 神 归 位！”哔哩哔哩 - ( ゜- ゜)つロ 乾杯~,夜散青丝,548911,81855,0.1491,18940,25043,2671,2368,9078,172,https://www.bilibili.com/video/BV1edY4zvEbE,BV1edY4zvEbE,"bgm：on my own
片头参考：BV1PV4y1177z"
23,【红石音乐】花之舞-Flower Dance,Betacarr,2208106,311675,0.1412,103732,158981,5420,2386,3474,258,https://www.bilibili.com/video/BV1fNYizhEuG,BV1fNYizhEuG,"耻辱柱：
本视频于2025年8月2中10.08分投稿至dy平台
Bilibili用户“i梦emo版（UID:488501957）”于2025年8月8日 00:13:10 未经允许转载至Bilibili
原作者Betacarr到评论区拜访遭到拉黑处理
随后，该用户将视频投稿性质由自制改为转载,并开启精选评论
截止于该视频发布时期，已经获得4万的点击量，并没有在简介或者其余明显地方主动标明原作者信息
"
24,开拓之旅：米哈游宇宙的奇妙冒险,m1s3n,78845,11055,0.1402,5118,4745,543,282,481,1524,https://www.bilibili.com/video/BV1ZHeuzZEeF,BV1ZHeuzZEeF,"本期视频是由我所导演的第一项重大动画项目，与许多大佬合作两个月做出的视频。我想在此感谢所有参与制作与帮助我的朋友们，没有他们我决不可能完成这个视频。
导演: m1s3n
导演帮手: @Maindesu  &@Zannir  
VFX & Mograph: Seventh Saturday
SFX: m1s3n & AlphaOctacube

英文配音：
星: RedVelvetVA
穹/帕姆: "
25,我小时候的梦想是当个大侠！,爱画画的子衿,1319459,184278,0.1397,208939,14803,1524,2681,5625,353,https://www.bilibili.com/video/BV1gVYezEEy9,BV1gVYezEEy9,-
26,这一次，还能晒干了沉默吗？,田一名sir,4947091,659345,0.1333,97053,60674,65731,19342,5081,23,https://www.bilibili.com/video/BV1cTYkzsEUF,BV1cTYkzsEUF,-
27,『女仆教育。』游戏制作中,局长きょくちょ,1002191,131116,0.1308,30115,47116,47454,6363,12225,46,https://www.bilibili.com/video/BV17qYCzXEFx,BV17qYCzXEFx,"【YouTube】
视频制作：Nザミー / Yamitsuki Studio所属
https://x.com/n_nnnzami1111

【X】
视频制作：Nザミー（@n_nnnzami1111）/ Yamitsuki Studio所属（@yamitsuki_std）"
28,刻律德菈：我来成为神明,呵纹Hevon,176609,22845,0.1294,2490,3323,1096,576,467,132,https://www.bilibili.com/video/BV1MAe3zSEXC,BV1MAe3zSEXC,"片尾BGM：幸福なわがまま
脚本：@呵纹Hevon  
素材绘制：@仓鼠饭团c  
配音协力：星、长夜月、风堇@宅在家里什么都不会  、海瑟音@录音姬阿童木  、刻律德菈@恪诀  
后期协力：@奶昔PurinN  动效@假日威龙陈阿颐"
29,《虎头山野王》,伤心欲茄222,1688208,213637,0.1265,6788,10974,5194,3465,3005,106,https://www.bilibili.com/video/BV1eRY4zKEyM,BV1eRY4zKEyM,剧名：《雪豹坚强岁月》
30,敬对方干的坏事，但不触发恶魔特效2.0,正宗氛围帅哥杰西卡,693826,87543,0.1262,4575,12476,10112,878,1291,282,https://www.bilibili.com/video/BV1XjY4zwEgr,BV1XjY4zwEgr,-
31,人民日报对话“胖东来”创始人于东来：不追求成为很大的企业，只希望“善”能够走向更多的地方,人民日报,1185185,149024,0.1257,29845,15714,7950,2710,3256,447,https://www.bilibili.com/video/BV1qhewzzE5L,BV1qhewzzE5L,
32,敢⚡不⚡敢⚡再⚡赌⚡一⚡次！,FoFTG,282357,35325,0.1251,2383,4087,63,403,1632,112,https://www.bilibili.com/video/BV1fReNzSEFu,BV1fReNzSEFu,"祝所有少年生日快乐！！！
灵感来自现实世界qwp
喜欢还请三连支持下吧pwq~"
33,【大鸣王潮1566】你的鸣字,寞桀緣才,415232,51844,0.1249,15475,5266,2076,1756,4458,207,https://www.bilibili.com/video/BV1ktePzJEA8,BV1ktePzJEA8,-
34,【第299集】布青，你可真是个花钱妖精啊。,布墨迹动画,55563,6801,0.1224,3194,896,27,345,397,343,https://www.bilibili.com/video/BV1v3egzsEjc,BV1v3egzsEjc,
35,为什么八路军是抗日战争中的“中流砥柱”？,龙的历史笔记,170680,20895,0.1224,3453,5247,640,2535,289,453,https://www.bilibili.com/video/BV1ScYxzWEjY,BV1ScYxzWEjY,看视频
36,爱素的天国地狱,xe08,260537,31687,0.1216,7043,11175,3250,786,206,99,https://www.bilibili.com/video/BV17beFzAEif,BV17beFzAEif,"麻烦的队服，logo和纹路之后在加罢（
模板来自：【【补档】《天天天国地狱国》完整模板（最终版）】 https://www.bilibili.com/video/BV1c7YxzCEo3/?share_source=copy_web&vd_source=68803f8bdf8434baa7d8a33dd410d8b2 感谢up主英俊的没腿分享"
37,你可能不认识我，但你一定用过……,应用宝电脑版,126533,15167,0.1199,849,6135,1858,554,320,138,https://www.bilibili.com/video/BV1cVeTz4EHa,BV1cVeTz4EHa,小宝终于和大家见面啦！撒花祝贺！虽然小宝还有很多不足，但是会加油解决所有问题~希望大家多和小宝互动哇~~
38,《原神》织向夜的笼灯｜gamescom 2025,原神,1036785,121972,0.1176,47361,20766,37171,13626,23218,370,https://www.bilibili.com/video/BV1Fse3zvEPv,BV1Fse3zvEPv,"巡夜的「执灯士」常告诫人们，切莫孤身在荒野久留。
若不愿与古旧的礁石同归寂静，最简单的方式就是远离黑夜翻动的狂潮。

中文CV：
菲林斯——马正阳
 
日文CV：
菲林斯——中村悠一

《原神》bilibili服下载地址： https://www.biligame.com/detail/?id=103496"
39,第一视角帮余姚热情的美女安排一只烤全羊！,孟阿凯烤全羊,378878,44106,0.1164,815,3558,595,1007,546,356,https://www.bilibili.com/video/BV1DdbEzZEr7,BV1DdbEzZEr7,第一视角帮余姚热情的美女安排一只烤全羊！
40,【医学博士】爱出汗是虚吗？｜爱出汗or不出汗，到底哪个更健康？,兔叭咯,97130,11284,0.1162,1894,2369,1440,497,634,397,https://www.bilibili.com/video/BV1wneFzzENM,BV1wneFzzENM,"爱出汗和不爱出汗，到底哪个更健康？
有人说“爱出汗=虚”，有人说“不出汗=毛孔堵”…
今天，我们就把“出汗的秘密”给饱饱们讲清楚！

您可能还喜欢：
【恋爱脑】BV1PXtmzhE4H
【车祸】BV1HRbQzBEGV
【裸睡】BV1WJu1zzEji
【甲亢】BV17bu3zvEEd
【耐久度】BV1yvgDzoEGk"
41,日媒登顶：南京照相馆“反日”，日本人非常不安,波士顿圆脸,330762,37798,0.1143,8391,4193,1299,3582,5722,697,https://www.bilibili.com/video/BV1NhegzkE6m,BV1NhegzkE6m,
42,他像是一头雄狮🦁在巡视自己的领地——新监管者台球手,凉哈皮,275771,31208,0.1132,5866,3472,1156,1196,706,542,https://www.bilibili.com/video/BV1UveNzYE5A,BV1UveNzYE5A,"基于共研服8月14日版本 正式服会有调整。时效性有限。
求三连！求弹幕！求评论！
跪求！"
43,挑战翻拍不同地区的夏日电影感！这个夏天就要结束了对吧？你的夏天快乐吗？,李如儒也是李蠕蠕,1415615,157736,0.1114,8103,13013,870,889,1187,159,https://www.bilibili.com/video/BV1eRYszbECD,BV1eRYszbECD,-
44,梦到哪句说哪句,高斯Goh,1469648,160454,0.1092,79652,57007,3681,3792,60489,790,https://www.bilibili.com/video/BV162eczzETZ,BV162eczzETZ,"希望你喜欢这次的视频，这次玩的游戏叫做《伪人测试》
游戏的规则我们去掉了计分机制，更专注于瞎掰胡扯。
那么游戏的规则很简单：
首先，主持人会抽取一个问题进行提问
之后主持人闭上眼睛，大家根据问题决定是否成为伪人
成为伪人的玩家抽取一个词，之后回答问题的时候需要包含这个词
不成为伪人的人类玩家回答问题时没有任何限制
主持人听完回答后判断对方是伪人还是人类
猜对了就赢了，猜错了就输了

*回答问题的内"
45,徒步大神雷殿生，下集，31天徒步1100公里穿越罗布泊,神秘园SMY,114131,12442,0.109,4138,2149,273,847,1260,690,https://www.bilibili.com/video/BV1rqegzqE1u,BV1rqegzqE1u,雷殿生罗布泊穿越下期，被人称为死亡之海，历史上曾有许多探险者在这里遇险，比如近代比较有名的彭加木和余纯顺等，其他不知名的更是数不胜数。但在2008年10月份，雷殿生却准备将这里当做自己徒步中国的最后一站。
46,9600包的桃园，拉到市里去卖这把是赚还是亏呢？,李维刚的日常,2375418,258764,0.1089,79562,12502,3125,12878,14309,1124,https://www.bilibili.com/video/BV1o8YxzeEtM,BV1o8YxzeEtM,
47,你可能不认识我，但现在关注也不迟!,-陨风-,654006,71100,0.1087,4868,17145,539,656,3176,419,https://www.bilibili.com/video/BV1KUeFzJER8,BV1KUeFzJER8,"你可能不认识我，但现在关注我也不迟！还差281,752粉丝到1,000,000粉丝，冲冲冲！ ！ ！

非常感谢@豆浆不是笨蛋  的模组制作
感谢@零雾05_Fogg05  的材质包支持
感谢@stz1F_Stephen  @GNwork团队  的地图支持
真的特别感谢@云清Ciel  对视频画面拍摄的指导
感谢@浅衣Chiar  对视频的帮助
感谢@-陨风-  对视频策划、文案、拍摄、剪辑的帮助"
48,读研的20条保命小技巧！用过了，还活着,毕的二阶导,256961,27684,0.1077,3270,10835,1292,669,395,245,https://www.bilibili.com/video/BV1MXewzsEAN,BV1MXewzsEAN,"又快开学了！希望我的一些经验可以对大家的读研生活有一点点帮助！
也欢迎在评论区分享你的科研生涯~"
49,孩子基础 爸爸就不基础,七颗猩猩QKXX,272321,29135,0.107,1554,1949,522,602,674,213,https://www.bilibili.com/video/BV1YdegzsE16,BV1YdegzsE16,-
50,上任克城,京西动画,84388,8785,0.1041,9260,1944,2287,702,1279,1096,https://www.bilibili.com/video/BV1Xqe3zxEhk,BV1Xqe3zxEhk,
51,这牙膏怎么越刷沫越多啊,智勇双全富贵君,179672,18694,0.104,1192,1447,390,439,897,112,https://www.bilibili.com/video/BV1vDegzZEyf,BV1vDegzZEyf,-
