rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
1,此曲，致时间，和时间里的人们,半终止_Cadence,149849,60489,0.4037,4499,28302,951,639,578,291,https://www.bilibili.com/video/BV1AQYYzYEBb,BV1AQYYzYEBb,从写下第一个音符到现在用了近一年，谢谢欣赏
2,“收集了这么多好看的风景 那必须第一时间分享给你啦”,风景旅行收藏家,147466,41686,0.2827,1718,17815,4675,5451,11845,151,https://www.bilibili.com/video/BV1XDYpzpEaU,BV1XDYpzpEaU,-
3,莫愁乡，但是丘丘语版,革凡普王i,249018,69662,0.2797,6668,11838,8001,1256,14753,33,https://www.bilibili.com/video/BV1aKYaz5En2,BV1aKYaz5En2,"填词:革凡普王I
视频制作:Strela
演唱者:夏翊然
原曲:莫愁乡 亚细亚旷世奇才"
4,用自媒体赚的钱带全村的老人去旅行,李福贵1,1175399,316612,0.2694,347314,30824,6284,6532,4937,558,https://www.bilibili.com/video/BV1hteAzhEbD,BV1hteAzhEbD,"我们又回到了这座大山
但他、她们的世界，已不再只有大山"
5,“这首《潮汐》真不值得你一键三连吗”,天不生拾柒,243085,64109,0.2637,16149,27275,1386,1312,1101,141,https://www.bilibili.com/video/BV1ESYBzuEUh,BV1ESYBzuEUh,"残月忧郁 星夜静谧 潮落叹息
聆听山语 回荡不清 若即若离
本期算是目前剪辑为止的高峰了
剪出来还是很有成就的
就看你  能否搏一搏我的生机吧
bgm:潮汐-傅梦彤
8.17下午16:30补了下帧率+有些画面微调了下
（又给自己工作量了 可他为什么就是不火呢）
昨晚给整忘了"
6,币，本身不值钱，但投的人多了，它就变成红烧肉便当了,健人鑫,91567,23699,0.2588,21284,999,92,194,308,401,https://www.bilibili.com/video/BV1kvYsz3E85,BV1kvYsz3E85,
7,我干了，大家随意,AI编程布道者-金角大王,1778518,444577,0.25,98489,37680,1335,2602,52082,91,https://www.bilibili.com/video/BV1d9bpz1EN5,BV1d9bpz1EN5,
8,海贼100天P1 最绝望的地狱开局 海军三大将同时降临,林凡Gg,45453,10558,0.2323,4263,2650,139,700,7325,1117,https://www.bilibili.com/video/BV14tegzCEQs,BV14tegzCEQs,"正式开启新坑了兄弟们！在这个系列里，我们需要靠自己的技术，一步步提升实力，去面对海贼王里的强敌，最终活到第一百天，战胜所有boss！
动画：@智建M刈观皮皮龙  @阿祖yanzu  @林凡Gg  
白发海贼团成员：@幻梦Rez  @小野人老邪  @超级无敌邪垫子  @木星知星  
鸡蛋仔海贼团成员：@M仔B  @FashionEgg  @竹枭枭枭  
模组：Mine Piece     模组汉化作"
9,你的时间十分宝贵 4.1,沉默-_-微笑,1125186,252364,0.2243,99843,45356,23411,6264,25391,212,https://www.bilibili.com/video/BV1gCtbz9E6o,BV1gCtbz9E6o,"将以往的极光之旅和雪中消逝进行结合并且全面升级的作品，成为我目前最强的视频。
        从0:55开始的20秒最难，无论是炸船尾杀20秒还是单手Spasmodic SP尾杀20秒都无法与之相比，面对着三个谱面的同时高潮段，左手的手法极为复杂，右手压力本身就很大还要时不时来辅助左手，并且Faded的判定较严，稍微不注意准度低一点就会逐渐偏离而掉下去。这毫无疑问是我所有视频中的最难段落。除此之外"
10,杰青五虎最后一战，老兵不死越老越妖！谁能继续创造历史？世纪之战第五集,Junior杰青,25497,5610,0.22,6915,1250,26,174,589,1751,https://www.bilibili.com/video/BV1xue3z1E41,BV1xue3z1E41,"2K巨星生成器系列 
杰青五虎最后一战，老兵不死越老越妖！谁能继续创造历史？世纪之战第五集 
生活频道：Jenkin杰青"
11,【苏丹的游戏/图奈手书】Yellow（未完）,绿药膏好难吃,207733,45446,0.2188,10237,15448,1953,525,153,105,https://www.bilibili.com/video/BV1fqYpzwEDu,BV1fqYpzwEDu,过两天出去玩一下就要开学忙起来了，所以干脆把目前的进度先都放出来…！是很粗糙的小手书有很多地方我其实不是很满意，技术力也很低下（下学期会努力学习的qaq）还是希望大家喜欢！（简介应该是没人看的吧TT）
12,我相信苦难困得住你的肉体，但困不住你自由的灵魂！,造梦阿瑄,980096,213457,0.2178,15669,9929,2267,3337,9179,145,https://www.bilibili.com/video/BV1FLYyzoEwg,BV1FLYyzoEwg,-
13,【官方投稿】ウルトラトレーラー（超预告篇）／重音テトSV,マサラダ,157259,34109,0.2169,17790,15895,1984,2800,8900,273,https://www.bilibili.com/video/BV1wStRz1Eip,BV1wStRz1Eip,"“现实”即将袭来——。

初次见面，我是玛莎拉达（マサラダ）。这是我的第三首歌。请来听哦～

歌：重音テトSV
曲、映像：マサラダ"
14,【孔融让梨/手书】不要相信孔融的话,-404_0-,284820,59266,0.2081,1758,17840,7849,1416,16731,21,https://www.bilibili.com/video/BV1bvYhziEqX,BV1bvYhziEqX,"莫信孔融之言
原创红风：BV1NajgzFE9b
有改了意思，抱歉
梦到啥做啥（真）看个乐子就行了
画这个是因为我梦到红风的孔融和他弟去打击邪教和T氏打起来了，孔融打赢了还把teto和miku变成了两颗梨。

我都做史了放过我吧。"
15,【周深｜现场】 W年度光影盛典带来歌曲《嗨》,周深工作室,103743,20750,0.2,16311,7262,1261,1529,1480,246,https://www.bilibili.com/video/BV1eyePzBEGG,BV1eyePzBEGG,周深在W年度光影盛典献唱歌曲《嗨》！四个空间穿梭，感受不同光影经典，用声音记录更多美好时刻～
16,背部肌肉怎么画,绘画的黄小凤,173414,34549,0.1992,2425,26363,730,186,150,252,https://www.bilibili.com/video/BV1YAY8zBEpf,BV1YAY8zBEpf,-
17,在索道上被车撞飞的概率不为零,是藿藿不是祸祸,269622,53069,0.1968,1401,21896,12499,806,167,12,https://www.bilibili.com/video/BV1V7Y4zaEpW,BV1V7Y4zaEpW,-
18,你一定没看过的超绝惊艳转场（零点1）,社恐内向昭爷爷,816595,156396,0.1915,3531,19002,11208,1984,13735,348,https://www.bilibili.com/video/BV1y7bWzFECG,BV1y7bWzFECG,-
19,【苏星河】在手机上看一部电影，究竟得先看多少广告？,苏星河牛通,45845,8656,0.1888,8833,2427,848,890,485,710,https://www.bilibili.com/video/BV1seegzzEnH,BV1seegzzEnH,结尾有惊喜！
20,《满嘴都是夏天的糖果》,屑老板XBOSS,681662,128106,0.1879,58876,50678,6277,2915,1779,203,https://www.bilibili.com/video/BV1CUYyzPEqu,BV1CUYyzPEqu,第一次这么多人一起合作有点手忙脚乱hhh 猜猜哪些部分是谁做吧
21,加藤参加抗日胜利80周年活动,加藤在中国,1970830,363754,0.1846,130715,36589,6692,3990,2080,166,https://www.bilibili.com/video/BV1ambzzRENY,BV1ambzzRENY,-
22,我当猫7年了！,吟游诗人咣当,409789,75527,0.1843,13496,5665,3007,1789,10084,96,https://www.bilibili.com/video/BV156ewzYEgY,BV156ewzYEgY,一边做蛋糕，一边防猫偷吃，8月19号是咣当回家的日子，也是咣当的生日！❤️
