rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
1,此曲，致时间，和时间里的人们,半终止_Cadence,153225,61984,0.4045,4593,28981,978,647,656,291,https://www.bilibili.com/video/BV1AQYYzYEBb,BV1AQYYzYEBb,从写下第一个音符到现在用了近一年，谢谢欣赏
2,【北宋手书 | 温荆】变法Non-Stop!,特别小的文,87856,28967,0.3297,10451,10891,3427,488,115,152,https://www.bilibili.com/video/BV1UNYxzDEYx,BV1UNYxzDEYx,"一年前弃稿的手书居然做完了！
完成了温荆nonstop代入的这个心愿"
3,“收集了这么多好看的风景 那必须第一时间分享给你啦”,风景旅行收藏家,157150,44759,0.2848,1862,18780,5041,5861,12856,151,https://www.bilibili.com/video/BV1XDYpzpEaU,BV1XDYpzpEaU,-
4,莫愁乡，但是丘丘语版,革凡普王i,257301,71658,0.2785,6857,12277,8218,1293,15093,33,https://www.bilibili.com/video/BV1aKYaz5En2,BV1aKYaz5En2,"填词:革凡普王I
视频制作:Strela
演唱者:夏翊然
原曲:莫愁乡 亚细亚旷世奇才"
5,用自媒体赚的钱带全村的老人去旅行,李福贵1,1224870,328676,0.2683,360858,32014,6516,6759,5103,558,https://www.bilibili.com/video/BV1hteAzhEbD,BV1hteAzhEbD,"我们又回到了这座大山
但他、她们的世界，已不再只有大山"
6,“这首《潮汐》真不值得你一键三连吗”,天不生拾柒,252647,65975,0.2611,16595,28436,1426,1323,1122,141,https://www.bilibili.com/video/BV1ESYBzuEUh,BV1ESYBzuEUh,"残月忧郁 星夜静谧 潮落叹息
聆听山语 回荡不清 若即若离
本期算是目前剪辑为止的高峰了
剪出来还是很有成就的
就看你  能否搏一搏我的生机吧
bgm:潮汐-傅梦彤
8.17下午16:30补了下帧率+有些画面微调了下
（又给自己工作量了 可他为什么就是不火呢）
昨晚给整忘了"
7,币，本身不值钱，但投的人多了，它就变成红烧肉便当了,健人鑫,93702,24224,0.2585,21817,1018,95,196,311,401,https://www.bilibili.com/video/BV1kvYsz3E85,BV1kvYsz3E85,
8,我干了，大家随意,AI编程布道者-金角大王,1794154,447765,0.2496,99463,38009,1348,2617,52546,91,https://www.bilibili.com/video/BV1d9bpz1EN5,BV1d9bpz1EN5,
9,你的时间十分宝贵 4.1,沉默-_-微笑,1131835,253628,0.2241,100369,45612,23553,6287,25606,212,https://www.bilibili.com/video/BV1gCtbz9E6o,BV1gCtbz9E6o,"将以往的极光之旅和雪中消逝进行结合并且全面升级的作品，成为我目前最强的视频。
        从0:55开始的20秒最难，无论是炸船尾杀20秒还是单手Spasmodic SP尾杀20秒都无法与之相比，面对着三个谱面的同时高潮段，左手的手法极为复杂，右手压力本身就很大还要时不时来辅助左手，并且Faded的判定较严，稍微不注意准度低一点就会逐渐偏离而掉下去。这毫无疑问是我所有视频中的最难段落。除此之外"
10,海贼100天P1 最绝望的地狱开局 海军三大将同时降临,林凡Gg,60106,13410,0.2231,5541,3394,170,805,9786,1117,https://www.bilibili.com/video/BV14tegzCEQs,BV14tegzCEQs,"正式开启新坑了兄弟们！在这个系列里，我们需要靠自己的技术，一步步提升实力，去面对海贼王里的强敌，最终活到第一百天，战胜所有boss！
动画：@智建M刈观皮皮龙  @阿祖yanzu  @林凡Gg  
白发海贼团成员：@幻梦Rez  @小野人老邪  @超级无敌邪垫子  @木星知星  
鸡蛋仔海贼团成员：@M仔B  @FashionEgg  @竹枭枭枭  
模组：Mine Piece     模组汉化作"
11,【苏丹的游戏/图奈手书】Yellow（未完）,绿药膏好难吃,211486,46210,0.2185,10412,15676,1982,536,157,105,https://www.bilibili.com/video/BV1fqYpzwEDu,BV1fqYpzwEDu,过两天出去玩一下就要开学忙起来了，所以干脆把目前的进度先都放出来…！是很粗糙的小手书有很多地方我其实不是很满意，技术力也很低下（下学期会努力学习的qaq）还是希望大家喜欢！（简介应该是没人看的吧TT）
12,我相信苦难困得住你的肉体，但困不住你自由的灵魂！,造梦阿瑄,992399,215629,0.2173,15840,10048,2291,3346,9300,145,https://www.bilibili.com/video/BV1FLYyzoEwg,BV1FLYyzoEwg,-
13,杰青五虎最后一战，老兵不死越老越妖！谁能继续创造历史？世纪之战第五集,Junior杰青,28861,6239,0.2162,7732,1366,31,188,624,1751,https://www.bilibili.com/video/BV1xue3z1E41,BV1xue3z1E41,"2K巨星生成器系列 
杰青五虎最后一战，老兵不死越老越妖！谁能继续创造历史？世纪之战第五集 
生活频道：Jenkin杰青"
14,【官方投稿】ウルトラトレーラー（超预告篇）／重音テトSV,マサラダ,162141,34977,0.2157,18048,16253,2016,2826,8997,273,https://www.bilibili.com/video/BV1wStRz1Eip,BV1wStRz1Eip,"“现实”即将袭来——。

初次见面，我是玛莎拉达（マサラダ）。这是我的第三首歌。请来听哦～

歌：重音テトSV
曲、映像：マサラダ"
15,【孔融让梨/手书】不要相信孔融的话,-404_0-,292556,60795,0.2078,1815,18314,8078,1452,17243,21,https://www.bilibili.com/video/BV1bvYhziEqX,BV1bvYhziEqX,"莫信孔融之言
原创红风：BV1NajgzFE9b
有改了意思，抱歉
梦到啥做啥（真）看个乐子就行了
画这个是因为我梦到红风的孔融和他弟去打击邪教和T氏打起来了，孔融打赢了还把teto和miku变成了两颗梨。

我都做史了放过我吧。"
16,背部肌肉怎么画,绘画的黄小凤,177568,35385,0.1993,2472,27052,756,188,155,252,https://www.bilibili.com/video/BV1YAY8zBEpf,BV1YAY8zBEpf,-
17,【周深｜现场】 W年度光影盛典带来歌曲《嗨》,周深工作室,110037,21536,0.1957,16914,7497,1314,1575,1510,246,https://www.bilibili.com/video/BV1eyePzBEGG,BV1eyePzBEGG,周深在W年度光影盛典献唱歌曲《嗨》！四个空间穿梭，感受不同光影经典，用声音记录更多美好时刻～
18,你一定没看过的超绝惊艳转场（零点1）,社恐内向昭爷爷,837554,160815,0.192,3629,19515,11453,2015,14684,348,https://www.bilibili.com/video/BV1y7bWzFECG,BV1y7bWzFECG,-
19,《满嘴都是夏天的糖果》,屑老板XBOSS,686913,129071,0.1879,59411,51169,6321,2928,1785,203,https://www.bilibili.com/video/BV1CUYyzPEqu,BV1CUYyzPEqu,第一次这么多人一起合作有点手忙脚乱hhh 猜猜哪些部分是谁做吧
20,谋士以身入局，举棋胜天半子（不等式1）,社恐内向昭爷爷,174068,32509,0.1868,1786,1419,1409,837,456,333,https://www.bilibili.com/video/BV1JpYxzuEXR,BV1JpYxzuEXR,-
21,来新疆了，葡萄很好，一串有五十六颗，紧紧的，很甜！,爱画画的子衿,80414,14929,0.1857,13308,1213,242,503,689,300,https://www.bilibili.com/video/BV1d8e3zcEZh,BV1d8e3zcEZh,-
22,加藤参加抗日胜利80周年活动,加藤在中国,1974831,364391,0.1845,130949,36656,6698,3995,2083,166,https://www.bilibili.com/video/BV1ambzzRENY,BV1ambzzRENY,-
23,我当猫7年了！,吟游诗人咣当,425385,77982,0.1833,13924,5821,3113,1825,10401,96,https://www.bilibili.com/video/BV156ewzYEgY,BV156ewzYEgY,一边做蛋糕，一边防猫偷吃，8月19号是咣当回家的日子，也是咣当的生日！❤️
24,仿佛回到老老实实画出每一根线条的古早年代,皿癮葉壱,239781,43596,0.1818,1364,7980,277,529,196,76,https://www.bilibili.com/video/BV18CYxzREDt,BV18CYxzREDt,
25,剪完视频感觉自己年轻了五岁,盛夏聆听深秋_,181962,32939,0.181,811,8778,1136,664,153,75,https://www.bilibili.com/video/BV1ZueAzkEDt,BV1ZueAzkEDt,
26,失之东隅 收之桑榆 东台没能看到的浅蓝蒂芙尼竟在此偶遇！,赵朔西行漫记,72454,12957,0.1788,11853,1609,161,3855,4179,1329,https://www.bilibili.com/video/BV1zxeFzNE4f,BV1zxeFzNE4f,柴达木盆地北缘东行，绿色渐浓，风光愈好，抵达怀头他拉镇小憩。
27,EVA使徒来袭，初号机首次出击!,有趣心情,166537,29653,0.1781,5624,4396,2232,371,218,100,https://www.bilibili.com/video/BV18MewzsEBw,BV18MewzsEBw,-
28,燃烧自身带来的黎明,沂淇_,903671,159034,0.176,20049,47901,7077,1376,219,31,https://www.bilibili.com/video/BV1FWYqzMEaK,BV1FWYqzMEaK,yc 神秘GG爆
29,哥哥姐姐，这是我的修改反馈,一打七弟弟,980765,171178,0.1745,12714,7041,1418,2420,469,34,https://www.bilibili.com/video/BV1BUeczMEvN,BV1BUeczMEvN,-
30,谁能拔老子出来啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,苍骸里边住着诡靥,201083,34960,0.1739,3783,8995,3113,940,491,195,https://www.bilibili.com/video/BV16BYszuEaq,BV16BYszuEaq,"BGM / ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ - だ れ か ぬ い て く れ[谁能够拔我出来啊]
表演 / 诡靥
剪辑 / 苍骸
鸣谢 / 去你的在旁边看了三分钟的墨镜钻头奇美拉(无责任集合体)，钢制[?]超硬小方椅(绑定诅咒)，原P主@ぬぬぬぬぬぬぬぬぬぬ 
如有什么建议请不吝赐教，你"
31,【明日方舟】界园的天天天国地狱国,亓音亓w亓,195895,33954,0.1733,5935,9197,4781,526,2113,71,https://www.bilibili.com/video/BV1YkYtzPE2r,BV1YkYtzPE2r,
32,星尘：😡😡😡🤬🤬,MaxXSoft,844836,144735,0.1713,43261,78419,5943,2322,15600,189,https://www.bilibili.com/video/BV1GhbhzeELZ,BV1GhbhzeELZ,"我无法逃离这个充满戾气的互联网。

《皈依者狂热》
演唱：星尘Infinity
作词/作曲/编曲/调教/混音/母带：MaxXing
策划/分镜/动画/3D/后期：MaxXing

特别感谢：@KAI_sss  （提供混音指导）
借物表：
MMD：椛暗式星尘（模型：椛暗 流云景，模型定制委托人：诚实的月亮，配布：BV1rh4y1j7sQ）
其他3D模型：
Hand Sculpture：re1mons"
33,昔涟即“开拓”？来古士输才是“赢麻了”？神秘出手，颠覆所有！【普通星铁考据·3.5】,Muc虚空之翼,71063,12159,0.1711,7080,3662,595,771,1337,2289,https://www.bilibili.com/video/BV1okeMzxE9X,BV1okeMzxE9X,"前方高能，暴论超多
BGM：HOYO-MiX - 有关星空的寓言集•其一 Fables About the Stars Part 1；SIGONO,林蝉 - 龙脉长歌；星穹铁道3.5剧情插曲，来古士BOSS战曲；假面骑士圣刃「Timeless Story」； 假面骑士 圣刃 主题曲 OP 「ALMIGHTY～仮面の约束 ；川井憲次 - 騎士王の誇り；林ゆうき - ROBOTICS;NOTES；梶浦"
34,谁说父子一定有配合！？,牛牛爱吃草丶,64525,11006,0.1706,5748,2330,58,245,483,893,https://www.bilibili.com/video/BV1QeeuzSEo6,BV1QeeuzSEo6,
35,“有你在身边，夏天才圆满！”,小白不留行,598026,101370,0.1695,20069,20076,1373,559,319,130,https://www.bilibili.com/video/BV1k2YbzJEwj,BV1k2YbzJEwj,"夏天一定还会到来，大家的旅程都在继续。
只要我们都珍惜着彼此，总有一天还会相聚。

感谢白枝雪鸽、KeenanLiu两位老师的共同创作！"
36,一口气捐出300台AED，夸我！立一下人设！,大漠叔叔,179964,30263,0.1682,16078,1721,151,1142,466,143,https://www.bilibili.com/video/BV1SKe3zmErt,BV1SKe3zmErt,
37,新账旧账该一起算了，马格马星人!咿呀!,狮心中帝,434318,72609,0.1672,3851,8499,2457,725,200,22,https://www.bilibili.com/video/BV1kbYnzfEHj,BV1kbYnzfEHj,-
38,【买前必看】监测超准？全新设计？还有什么？三星Watch8全系一月详细体验,搞机所,38601,6447,0.167,1276,1353,11,101,735,576,https://www.bilibili.com/video/BV1Fwecz6EH9,BV1Fwecz6EH9,"轻薄时尚？经典商务？极限户外？
距离三星新发布的Galaxy Watch也有一个月了
这期视频
我们用一个多月的佩戴体验
告诉你
这三款最新的三星Watch
究竟买哪款
最合适"
39,【罗小黑战记2】师父的拖鞋都滑得比你们帅气,乘于零呀,988755,163372,0.1652,19194,49524,9821,916,399,30,https://www.bilibili.com/video/BV14CYyzqE6z,BV14CYyzqE6z,"参考:外网MellyVuong
不会填词，你们在评论区填词哈哈哈（坏笑）！！
下一个做什么呢？评论区说说"
40,打开书本里最奇特的岛屿，巴哈马猪猪岛！,何香蓓Betty,82617,13600,0.1646,1134,845,493,217,269,273,https://www.bilibili.com/video/BV1d8euzpEPn,BV1d8euzpEPn,-
41,辣到脑壳缺氧的各地辣椒试吃来啦！,夏夏嗦粉记,144248,23175,0.1607,5433,1471,241,482,426,105,https://www.bilibili.com/video/BV1jqbzzaEY3,BV1jqbzzaEY3,
42,【苏星河】在手机上看一部电影，究竟得先看多少广告？,苏星河牛通,77127,12238,0.1587,11570,3319,1102,1052,596,710,https://www.bilibili.com/video/BV1seegzzEnH,BV1seegzzEnH,结尾有惊喜！
43,当身体被打败意志将带你杀出重围！,阿铭铭丶,2154809,340172,0.1579,93295,54050,4099,4014,76366,104,https://www.bilibili.com/video/BV1z9bLzYEhS,BV1z9bLzYEhS,
44,战争会倒下，但和平永远屹立不倒#手工 #扑克牌 #抗战胜利80周年,爱摆牌的龙龙1代摆,192089,30235,0.1574,17919,2442,154,446,274,120,https://www.bilibili.com/video/BV1S4bizrEat,BV1S4bizrEat,-
45,FNF mario's madness 真人版,Wcats_喝水,2284820,359589,0.1574,29314,59171,16565,8253,2783,103,https://www.bilibili.com/video/BV1D8bBz7EA9,BV1D8bBz7EA9,"视频里面非常厉害的素材是这个大佬哦@YuDi_ECH 
这款游戏是来自外国的Friday night funkin
视频里面的不是原版是一个模组名字叫mario's madness(马里奥的疯狂)视频里面演示的是模组的其中一首歌曲 no party (没有派对)

00:18-00:25动作对不上

（我怎么做了这个抽象视频）"
46,Re:佩恩从零开始的异世界生活！！！【三】,-夏秋冬-,55593,8726,0.157,5711,2198,567,512,1274,420,https://www.bilibili.com/video/BV1Kue3z1EDC,BV1Kue3z1EDC,
47,国际象棋，但是走法由点赞数量最高的评论决定（第九天）,喝彩城堡CastleBravo,190508,29859,0.1567,1145,2228,2229,5339,479,188,https://www.bilibili.com/video/BV16ZeuzPEQm,BV16ZeuzPEQm,"没有国际象棋行棋规则的限制，但是有将死逼和等规则，如果一方在当天被将死或者逼和，那么第二天另一方可以采取行动来避免将杀，否则游戏结束。

每天北京时间早上九点统计前一天的评论点赞数量。

视频素材来源：
【中字邦邦MV】春日影 ——CRYCHIC https://www.bilibili.com/video/BV1YE421L7wX/
【Laura Shigihara】Zombies on you"
