视频标题,视频地址,作者,分区,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率,数据源
为什么八路军是抗日战争中的“中流砥柱”？,https://www.bilibili.com/video/BV1ScYxzWEjY,龙的历史笔记,人文历史,155648,268,3100,19151,587,4827,0.123,popular_api
《原神》织向夜的笼灯｜gamescom 2025,https://www.bilibili.com/video/BV1Fse3zvEPv,原神,手机游戏,870465,19868,42311,106552,33360,18012,0.1224,popular_api
这只猫妈妈，比狮子猫还难打,https://www.bilibili.com/video/BV1cBYszgEiw,本喵叫兔兔,喵星人,298460,480,3518,35977,251,1467,0.1205,popular_api
【医学博士】爱出汗是虚吗？｜爱出汗or不出汗，到底哪个更健康？,https://www.bilibili.com/video/BV1wneFzzENM,兔叭咯,科学科普,81072,584,1642,9683,1222,2092,0.1194,popular_api
第一视角帮余姚热情的美女安排一只烤全羊！,https://www.bilibili.com/video/BV1DdbEzZEr7,孟阿凯烤全羊,美食侦探,355634,505,751,41881,542,3403,0.1178,popular_api
日媒登顶：南京照相馆“反日”，日本人非常不安,https://www.bilibili.com/video/BV1NhegzkE6m,波士顿圆脸,社科·法律·心理,278623,4829,7174,32481,1103,3703,0.1166,popular_api
梦到哪句说哪句,https://www.bilibili.com/video/BV162eczzETZ,高斯Goh,综艺,1335610,57267,75519,150899,3456,52653,0.113,popular_api
他像是一头雄狮🦁在巡视自己的领地——新监管者台球手,https://www.bilibili.com/video/BV1UveNzYE5A,凉哈皮,手机游戏,256207,658,5608,28864,1076,3253,0.1127,popular_api
孩子基础 爸爸就不基础,https://www.bilibili.com/video/BV1YdegzsE16,七颗猩猩QKXX,搞笑,210758,607,1299,23563,401,1602,0.1118,popular_api
挑战翻拍不同地区的夏日电影感！这个夏天就要结束了对吧？你的夏天快乐吗？,https://www.bilibili.com/video/BV1eRYszbECD,李如儒也是李蠕蠕,小剧场,1392042,1162,7922,155221,853,12770,0.1115,popular_api
徒步大神雷殿生，下集，31天徒步1100公里穿越罗布泊,https://www.bilibili.com/video/BV1rqegzqE1u,神秘园SMY,影视杂谈,89903,1045,3251,9954,221,1782,0.1107,popular_api
这牙膏怎么越刷沫越多啊,https://www.bilibili.com/video/BV1vDegzZEyf,智勇双全富贵君,搞笑,139583,802,1015,15307,300,1207,0.1097,popular_api
9600包的桃园，拉到市里去卖这把是赚还是亏呢？,https://www.bilibili.com/video/BV1o8YxzeEtM,李维刚的日常,美食侦探,2342076,14151,78486,255717,3067,12326,0.1092,popular_api
花6000多网购集装箱绿房子，居然还真给爷爷住上了！,https://www.bilibili.com/video/BV1NdewzpE5u,开箱嘤嘤怪,搞笑,120117,719,2414,13011,205,998,0.1083,popular_api
读研的20条保命小技巧！用过了，还活着,https://www.bilibili.com/video/BV1MXewzsEAN,毕的二阶导,科学科普,244071,382,3071,26306,1237,10220,0.1078,popular_api
你可能不认识我，但现在关注也不迟!,https://www.bilibili.com/video/BV1KUeFzJER8,-陨风-,单机游戏,613669,2948,4570,64975,495,15594,0.1059,popular_api
找四个博主来剪辑同一段素材，看做出来的视频有什么区别？,https://www.bilibili.com/video/BV1wKeNzWEda,清酒好可怜,电子竞技,136304,875,4479,14182,459,2652,0.104,popular_api
必须抓住观众的眼球,https://www.bilibili.com/video/BV1Gpbsz1EQh,生姜蛋包饭,同人·手书,1657709,1276,15617,171911,2016,43486,0.1037,popular_api
唱完坏女孩 还要去偷菜~,https://www.bilibili.com/video/BV15aYWzsEnp,今天的纹纹,翻唱,668174,640,4425,68992,4047,7881,0.1033,popular_api
“治疗”离天下之大谱？美国窃取人体器官犯罪，能有多疯狂？,https://www.bilibili.com/video/BV1UBeTzuEWr,世界见闻录,人文历史,99136,794,947,10118,302,2200,0.1021,popular_api
