视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
前8天：穿越罗布泊无人区  第9天：主角突然换人,https://www.bilibili.com/video/BV1soZJYUEKd,央视新闻,5063816,20279,16753,701870,27333,33475,0.1386
【罗翔】张三侮辱骨灰到底犯不犯法？法律人为何这么“抠字眼”？,https://www.bilibili.com/video/BV1WVfcYFEiX,罗翔说刑法,1446019,29613,8189,164854,1705,9778,0.114
“甲亢哥”成都行全程“OMG”【不完整合集】,https://www.bilibili.com/video/BV1Y9fwYDEyJ,新华社,1734607,971,3077,198770,4361,18077,0.1146
国际人道救援人员加沙遭袭身亡,https://www.bilibili.com/video/BV1xgZhYSESr,联合国,948255,24351,22178,203758,5848,16586,0.2149
用PS两步搞定塑料包装贴图,https://www.bilibili.com/video/BV17GZpYjEiR,设计师小海,560147,145,1879,66301,840,39067,0.1184
你不经意的瞬间，我心里早已激起一片涟漪,https://www.bilibili.com/video/BV1uyfAY2Eas,难晴雨yu,1469276,367,3421,212349,7932,60914,0.1445
胖东来基层员工平均月薪9886元,https://www.bilibili.com/video/BV1tYZCYpEGa,主持人阿喆,281290,769,1240,36230,3926,2394,0.1288
什么是琉璃剪边？春日之挑战回答我！,https://www.bilibili.com/video/BV1vfZFY1EtE,古建筑斗拱学堂,852284,8338,30268,272284,1612,26503,0.3195
