视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
第92期四菜一汤教程：黄焖鸡，韭菜炒蛋，蒜苗小炒肉，蒜炒空心菜，香菇鸡汤，从挑选食材开始，一套流程很顺畅，简单易懂！,https://www.bilibili.com/video/BV1n6ZEYrEmh,阿蔡美食雕刻,751533,697,10056,79670,2203,9510,0.106
没有父母，19岁送外卖供三姐弟读书，她是姐姐，也是爸爸妈妈,https://www.bilibili.com/video/BV1rqZtYeErC,颜锅锅的江湖记,714307,1482,78240,88308,621,6449,0.1236
今我孙子自己做的烤鸡胸肉还有鸡翅我又炒的木须肉,https://www.bilibili.com/video/BV1dSoyYiEom,和小凯的平淡生活,5746237,46572,378302,1161241,5658,73958,0.2021
一定要学会的椒盐鸡翅！外酥里嫩，再也不用出去买了！鸡翅少油做法还特别健康！,https://www.bilibili.com/video/BV1nposYWE5z,夏叔有好货,1671427,629,14944,215065,19565,161651,0.1287
辣条烤肠+双倍辣火鸡面嘶嘶嘶～,https://www.bilibili.com/video/BV1EKZnYkEdm,小酥猫饼,504150,367,2375,65968,714,3873,0.1308
两个日本人在中国一起去吃日料！(?),https://www.bilibili.com/video/BV1RRfPYZEEQ,米饭仙人FFyasueda,910115,718,5441,113595,3464,9309,0.1248
