视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
为救同学身中八刀，她说：“因为我是军人的女儿！”,https://www.bilibili.com/video/BV1L7ZnYNEuH,吉林共青团,2646286,17961,36442,455252,933,14188,0.172
《 她 她 她 》,https://www.bilibili.com/video/BV127ZvYhEHb,koalixi,1907297,527,80292,209961,18191,76107,0.1101
真举头望明月，低头思故乡,https://www.bilibili.com/video/BV1voZaYTE39,爱挖掘新奇特,1061660,345,4171,154173,44706,45938,0.1452
“她忘了很多事 但唯独没有忘记爱你”,https://www.bilibili.com/video/BV16oZBYhEZ3,WILL说剧,3245374,3102,243960,546911,14509,140656,0.1685
半夜睡不着室友非得拉着我们来航海,https://www.bilibili.com/video/BV1X8oXYpEjY,CCCmlng小陈不憨,6126971,49931,62321,712834,82905,209349,0.1163
《上帝不如我兄弟》,https://www.bilibili.com/video/BV1khZqY8Ewu,千秋燃剪,2250431,380,27237,267340,4019,74041,0.1188
⚡️甲亢哥全程中文配音【译制腔】,https://www.bilibili.com/video/BV1rqZtYeE22,是大阳仔啊,641847,632,6523,80011,2898,15657,0.1247
崩 溃 虞 姬,https://www.bilibili.com/video/BV1rjZ4YFEmg,Chiizero,2580955,418,51758,390710,9701,112768,0.1514
