视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,点赞率
武当杰克全网正式发出邀请甲亢哥 Speed 来武当山体验武当功夫,https://www.bilibili.com/video/BV1FcZtYFESy,武当山杰克,1240821,433,5399,132038,830,4853,0.1064
私宅单手举起40kg杠铃,https://www.bilibili.com/video/BV117ZYYXEce,禁漫勇者,769871,422,1401,100643,4014,5933,0.1307
练肩日 记录推肩7.5kg做组了 继续加油嘿嘿,https://www.bilibili.com/video/BV1QwZHYPE96,是乐儿不是那儿,100218,29,272,11108,687,3273,0.1108
